hour,temp,humidity,windspeed,Rental count
1,22.96,83,7.0015,76
12,26.24,73,12.998,264
3,22.96,88,7.0015,6
0,27.06,65,7.0015,47
21,17.22,35,8.9981,187
11,28.7,65,0,402
21,30.34,58,11.0014,238
13,24.6,69,12.998,265
15,21.32,42,16.9979,125
10,26.24,47,11.0014,135
14,22.96,21,15.0013,311
10,18.04,38,27.9993,140
6,11.48,93,0,99
19,31.98,62,0,392
1,10.66,56,0,6
5,19.68,67,19.0012,21
23,22.96,73,12.998,68
23,27.88,61,15.0013,168
20,19.68,59,22.0028,139
12,31.98,43,0,292
23,28.7,79,8.9981,55
20,26.24,73,8.9981,263
1,28.7,79,6.0032,14
22,10.66,41,16.9979,62
6,9.84,93,15.0013,28
20,14.76,57,7.0015,163
14,35.26,50,12.998,152
19,13.94,53,6.0032,319
2,27.06,69,0,19
22,26.24,65,15.0013,242
